id,title,subtitle,summary,category_0_tid,Spots_0_id
9725,Día de monumentos Abiertos,Open Monumentendag,"En el Día de Monumentos Abiertos el protagonismo lo ocupa el patrimonio arquitectónico. Podrá visitar los edificios conocidos, pero también echar un vistazo a lugares que de otra forma no son accesibles.",3387,8825
9734,Fêtes du quartier Patershol,Patersholfeesten,Le plus ancien quartier de Gand organise en août ses propres fêtes en miniature avec une ambiance maximale.,3384,7409
9735,The Patershol festivities ,Patersholfeesten,"The oldest quarter of Ghent organises its own mini festivities, displaying maximal atmosphere and ambiance.",3384,8175
9736,Die Patersholfeste ,Patersholfeesten,"Für eine gemütlichere Atmosphäre können Sie in den ältesten Stadtteil von Gent, in dem die eigene Patershol Minifeste mit einer großen Atmosphäre und einem tollen Ambiente organisiert werden, gehen.",3384,7693
9741,Fiesta del barrio Patershol,Patersholfeesten,"Quien prefiera fiestas menos bulliciosas, más íntimas, disfrutará con las organizadas en el mes de agosto en el barrio más antiguo de Gante, caracterizadas por su especial ambiente popular.",3384,7859
9743,Les Six Jours,Zesdaagse ,Les meilleurs coureurs cyclistes (les ‘pistiers’) combattent pour la victoire au vélodrome légendaire ‘Het Kuipke’.,3385,11057
9744,The six-days bicycle race,Zesdaagse ,"Every year, the very best track racing cyclists compete for the victory in the legendary 'Kuipke' cycling stadium.",3385,11058
9745,Sechstagerennen,Zesdaagse ,Die allerbesten Radrennfahrer kämpfen in der legendären Kuipke Halle um den Sieg.,3385,11059
9746,Los Seis Días,Zesdaagse ,"Los mejores ciclistas de pista compiten para ganar una medalla de oro, en el legendario velódromo ""Het Kuipke"".",3385,11060
9747,Gand Festival de Flandre,,Gand deviendra l’eldorado des amateurs de musique.,3379,8822
9748,Ghent Festival of Flanders,,Ghent becomes a music-lover’s Mecca.,3379,8823
9749,Gent Flandern Festival,,Gent wird zum Mekka für Musikliebhaber.,3379,8824
9750,Festival de Flandes en Gante,,Durante 3 semanas Gante se convierte en la meca del amante de la música.,3379,8825
9751,Omloop Het Nieuwsblad,,Départ et arrivée de la course d’ouverture de la saison cycliste internationale.,3385,7423
9752,Omloop Het Nieuwsblad,,Departure and arrival of the opening race of the international cycling season.,3385,8189
9753,Omloop Het Nieuwsblad,,Start und Ankunft der Eröffnungsetappe der internationalen Radsaison.,3385,7707
9754,Omloop Het Nieuwsblad,,Salida y llegada de la carrera que inicia la temporada ciclista belga.,3385,7873
9953,Floralien,,Het grootste bloemenevenement van Europa,3387,6801
9954,Floralies,,Les Floralies de Gand innovent!,3387,7361
9955,Floralies,,The Ghent Floralies are getting a makeover.,3387,8128
9956,Floralien,,Die Genter Floralien bekommen ein Makeover. ,3387,7644
9957,Floralias de Gante ,,Las Floralias de Gante van a ser objeto de renovación y se celebrarán en la primavera de 2016.,3387,7812
